case:concept:name,concept:name,time:timestamp,case:Spend area text,case:Vendor
GC01,Purchase Requisition,2024-01-01 00:00:00,3-way match,S1
GC01,Approval,2024-01-01 10:00:00,3-way match,S1
GC01,Purchase Order,2024-01-02 00:00:00,3-way match,S1
GC01,Goods Receipt,2024-01-03 00:00:00,3-way match,S1
GC01,Invoice Receipt,2024-01-03 12:00:00,3-way match,S1
GC01,Payment,2024-01-04 00:00:00,3-way match,S1
GC02,Purchase Requisition,2024-01-01 00:00:00,3-way match,S1
GC02,Approval,2024-01-06 00:00:00,3-way match,S1
GC02,Purchase Order,2024-01-07 00:00:00,3-way match,S1
GC02,Goods Receipt,2024-01-09 00:00:00,3-way match,S1
GC02,Invoice Receipt,2024-01-10 00:00:00,3-way match,S1
GC02,Payment,2024-01-12 00:00:00,3-way match,S1
GC03,Purchase Requisition,2024-01-01 00:00:00,Consignment,S2
GC03,Approval,2024-01-02 00:00:00,Consignment,S2
GC03,Approval,2024-01-03 00:00:00,Consignment,S2
GC03,Purchase Order,2024-01-03 12:00:00,Consignment,S2
GC03,Goods Receipt,2024-01-04 00:00:00,Consignment,S2
GC03,Invoice Receipt,2024-01-04 12:00:00,Consignment,S2
GC03,Payment,2024-01-05 00:00:00,Consignment,S2
GC04,Purchase Requisition,2024-01-01 00:00:00,3-way match,S1
GC04,Approval,2024-01-01 08:00:00,3-way match,S1
GC04,Purchase Order,2024-01-01 16:00:00,3-way match,S1
GC04,Goods Receipt,2024-01-02 00:00:00,3-way match,S1
GC04,Goods Receipt,2024-01-02 08:00:00,3-way match,S1
GC04,Invoice Receipt,2024-01-02 16:00:00,3-way match,S1
GC04,Payment,2024-01-03 00:00:00,3-way match,S1
GC05,Purchase Requisition,2024-01-01 00:00:00,Consignment,S3
GC05,Approval,2024-01-01 06:00:00,Consignment,S3
GC05,Purchase Order,2024-01-01 12:00:00,Consignment,S3
GC05,Invoice Receipt,2024-01-02 00:00:00,Consignment,S3
GC05,Payment,2024-01-02 12:00:00,Consignment,S3
GC06,Purchase Requisition,2024-01-01 00:00:00,3-way match,S2
GC06,Approval,2024-01-01 05:00:00,3-way match,S2
GC06,Purchase Order,2024-01-01 10:00:00,3-way match,S2
GC06,Dispute Hold,2024-01-01 15:00:00,3-way match,S2
GC06,Goods Receipt,2024-01-02 00:00:00,3-way match,S2
GC06,Invoice Receipt,2024-01-02 06:00:00,3-way match,S2
GC06,Payment,2024-01-02 12:00:00,3-way match,S2
GC07,Purchase Requisition,2024-01-01 00:00:00,3-way match,S3
GC07,Approval,2024-01-06 00:00:00,3-way match,S3
GC07,Purchase Order,2024-01-07 00:00:00,3-way match,S3
GC07,Goods Receipt,2024-01-08 00:00:00,3-way match,S3
GC07,Invoice Receipt,2024-01-09 00:00:00,3-way match,S3
GC07,Payment,2024-01-11 12:00:00,3-way match,S3
